recipe_id,title,description,ingredients,instructions,n_ingredients,n_instructions,temps_preparation,niveau_calorie,image_path,cuisine,tags,difficulte,regime,note_moyenne,nb_avis
11,Risotto aux champignons,"Risotto crémeux aux champignons porcini, parmesan et vin blanc, un classique de la cuisine du nord de l'Italie.","300 g de riz Arborio ; 200 g de champignons porcini ; 1 oignon ; 150 ml de vin blanc ; 1,5 L de bouillon de légumes ; 80 g de parmesan ; 50 g de beurre ; huile d'olive ; persil ; sel ; poivre",Faire revenir l'oignon dans l'huile ; Ajouter le riz et nacrer ; Déglacer au vin blanc ; Ajouter le bouillon louche par louche ; Incorporer les champignons sautés ; Mantecarer avec beurre et parmesan ; Laisser reposer 2 min ; Garnir de persil,11,8,40,490,Images/Risotto_champignons.jpg,italienne,"risotto,champignons,parmesan,arborio,créme",moyen,végétarien,4.7,275
12,Bœuf Bourguignon,"Mijotée dans du vin rouge de Bourgogne avec lardons, champignons et petits oignons, cette recette est un monument de la cuisine française.","1,5 kg de bœuf à braiser ; 750 ml de vin rouge Bourgogne ; 200 g de lardons ; 200 g de champignons de Paris ; 20 petits oignons ; 2 carottes ; 3 gousses d'ail ; 1 bouquet garni ; farine ; beurre ; sel ; poivre",Faire mariner la viande dans le vin ; Faire dorer la viande par petites quantités ; Faire revenir les lardons et oignons ; Saupoudrer de farine ; Ajouter le vin de marinade et les légumes ; Cuire au four à 160°C pendant 2h30 ; Ajouter les champignons 30 min avant la fin,12,7,210,680,Images/Boeuf_bourguignon.jpg,française,"bœuf,bourguignon,vin rouge,mijoté,lardons",difficile,normal,4.8,340
13,Quiche Lorraine,"Tarte salée alsacienne-lorraine à base de pâte brisée, lardons fumés et migaine à la crème et aux œufs.",1 pâte brisée ; 200 g de lardons fumés ; 200 ml de crème fraîche ; 3 œufs ; 100 g de gruyère râpé ; noix de muscade ; sel ; poivre,Étaler la pâte dans le moule ; Faire revenir les lardons ; Battre les œufs avec la crème ; Ajouter le gruyère et la muscade ; Répartir les lardons sur la pâte ; Verser la migaine ; Cuire à 180°C pendant 35 min ; Servir tiède,8,8,55,520,Images/Quiche_lorraine.jpg,française,"quiche,lorraine,lardons,crème,tarte salée",facile,normal,4.6,198
14,Poulet Teriyaki,Poulet grillé nappé d'une sauce sucrée-salée à base de sauce soja.,500 g de cuisses de poulet ; 60 ml de sauce soja ; 60 ml de mirin ; 2 cuillères à soupe de saké ; 2 cuillères à soupe de sucre ; 1 cuillère à soupe d'huile ; 1 gousse d'ail ; 1 cuillère à café de gingembre ; graines de sésame ; oignons verts,"Mélanger la sauce soja, le mirin, le saké et le sucre ; Faire dorer le poulet ; Ajouter la sauce ; Laisser réduire jusqu'à ce qu'elle devienne brillante ; Parsemer de sésame et d'oignons verts ; Servir avec du riz",10,6,35,380,Images/Poulet_teriyaki.jpg,japonaise,"teriyaki,poulet,japonais,soja,grill",facile,sans lactose,4.6,290
15,Bibimbap,"Bol de riz garni de légumes, viande et œuf, mélangé avec une sauce pimentée coréenne.",300 g de riz ; 200 g de bœuf haché ; 1 carotte ; 1 courgette ; 100 g d'épinards ; 100 g de germes de soja ; 2 œufs ; 2 cuillères à soupe de gochujang ; 1 cuillère à soupe d'huile de sésame ; 1 cuillère à soupe de sauce soja ; ail ; graines de sésame,Cuire le riz ; Faire revenir séparément les légumes ; Cuire le bœuf assaisonné ; Préparer les œufs au plat ; Disposer tous les ingrédients sur le riz ; Ajouter le gochujang ; Mélanger avant de manger,12,7,45,550,Images/Bibimbap.jpg,coréenne,"bibimbap,riz,gochujang,légumes,coréen",moyen,sans lactose,4.7,165
16,Pad Thai,"Nouilles de riz sautées à la thaïlandaise avec crevettes, œufs, pousses de soja et cacahuètes.",250 g de nouilles de riz ; 200 g de crevettes ; 2 œufs ; 100 g de pousses de soja ; 3 cuillères à soupe de sauce de poisson ; 2 cuillères à soupe de sauce tamarin ; 1 cuillère à soupe de sucre de palme ; cacahuètes ; citron vert ; oignons verts ; piment,"Tremper les nouilles dans l'eau chaude ; Faire sauter les crevettes ; Ajouter les œufs brouillés ; Incorporer les nouilles ; Assaisonner avec sauces et sucre ; Ajouter les pousses de soja ; Servir avec cacahuètes, citron et piment",11,7,30,490,Images/Pad_thai.jpg,thaïlandaise,"pad thai,thaïlandais,nouilles,crevettes,sauté",moyen,sans lactose,4.7,380
17,Ramen Tonkotsu,"Soupe de nouilles japonaise au bouillon de porc crémeux, œuf mollet mariné et poitrine de porc confite.",400 g de nouilles ramen ; 1 kg d'os de porc ; chashu (poitrine de porc) ; 2 œufs ; algues nori ; graines de sésame ; oignons verts ; 4 cuillères à soupe de sauce soja ; 2 cuillères à soupe de miso ; gingembre ; ail,"Faire bouillir les os de porc 10 min puis rincer ; Mijoter à feu vif 8h pour un bouillon crémeux ; Préparer le chashu au four ; Faire les œufs mollets marinés dans la soja ; Cuire les nouilles ; Monter le bol avec bouillon, nouilles et garnitures",11,6,540,680,Images/Ramen_tonkotsu.jpg,japonaise,"ramen,tonkotsu,japonais,nouilles,bouillon",difficile,sans lactose,4.9,210
18,Curry de lentilles Dal,"Curry végétarien indien de lentilles rouges épicées au cumin, coriandre et lait de coco, parfumé et nourrissant.",300 g de lentilles rouges ; 1 boîte de lait de coco ; 2 tomates ; 1 oignon ; 3 gousses d'ail ; gingembre frais ; 1 cuillère à café de cumin ; 1 cuillère à café de coriandre ; 1 cuillère à café de curcuma ; piment ; sel ; huile ; coriandre fraîche,"Faire revenir oignon, ail et gingembre ; Ajouter les épices ; Incorporer les tomates puis les lentilles ; Verser le lait de coco ; Laisser mijoter 25 min en remuant ; Ajuster la consistance avec de l'eau ; Garnir de coriandre fraîche ; Servir avec du riz",13,8,40,360,Images/Dal_curry.jpg,indienne,"dal,lentilles,curry,indien,végétarien",facile,végétalien,4.6,230
19,Enchiladas de poulet,"Tortillas de maïs garnies de poulet, nappées d'une sauce crémeuse aux piments verts et gratinées au fromage.",12 tortillas de maïs ; 3 poitrines de poulet cuites ; 340 g de fromage Monterey Jack ; 1 oignon ; beurre ; farine ; 2 tasses de bouillon de poulet ; 1 tasse de crème aigre ; 1 boîte de piments verts ; oignons verts ; coriandre ; sel,"Préchauffer le four à 190°C ; Frire les tortillas 5 secondes ; Garnir de poulet, fromage et oignon ; Rouler et disposer dans le plat ; Préparer la sauce avec beurre, farine et bouillon ; Ajouter crème et piments ; Napper les enchiladas ; Gratiner 25 min",12,8,60,646,Images/Enchiladas_poulet.jpg,mexicaine,"enchiladas,mexicain,poulet,gratin,tortilla",moyen,normal,4.5,175
20,Guacamole maison,"Trempette mexicaine fraîche et crémeuse à base d'avocats mûrs, tomates, oignons, coriandre et citron vert.",3 avocats mûrs ; 2 tomates ; 1 oignon rouge ; 1 citron vert ; 1 bouquet de coriandre ; 1 piment jalapeño ; sel ; poivre,"Écraser les avocats à la fourchette ; Hacher finement oignon, tomates et piment ; Mélanger tous les ingrédients ; Ajouter le jus de citron vert ; Assaisonner ; Recouvrir d'un film au contact pour éviter l'oxydation",8,6,15,220,Images/Guacamole.jpg,mexicaine,"guacamole,avocat,mexicain,entrée,végétalien",facile,végétalien,4.8,460
21,Moussaka grecque,"Gratin grec aux aubergines, viande d'agneau et béchamel, un plat généreux typique de la cuisine hellénique.",2 aubergines ; 500 g d'agneau haché ; 2 tomates ; 1 oignon ; 2 gousses d'ail ; cannelle ; muscade ; vin rouge ; 500 ml de lait ; 50 g de beurre ; 50 g de farine ; parmesan râpé ; sel ; poivre,"Griller les tranches d'aubergines au four ; Faire la bolognaise à l'agneau avec épices ; Préparer la béchamel ; Monter le gratin : aubergines, bolognaise, aubergines, béchamel ; Parsemer de fromage ; Cuire à 180°C pendant 45 min ; Laisser reposer 15 min avant de servir",14,7,90,580,Images/Moussaka.jpg,grecque,"moussaka,aubergine,agneau,grèce,gratin",moyen,normal,4.7,220
22,Falafels,"Boulettes végétariennes croquantes de pois chiches et herbes fraîches, spécialité du Moyen-Orient.",400 g de pois chiches crus ; 1 oignon ; 3 gousses d'ail ; persil ; coriandre ; cumin ; coriandre en poudre ; bicarbonate ; farine ; sel ; huile de friture,"Tremper les pois chiches 12h ; Mixer avec oignon, ail et herbes ; Ajouter les épices et bicarbonate ; Former des boulettes ; Réfrigérer 1h ; Frire à 180°C 3 min de chaque côté ; Égoutter sur papier absorbant",11,7,780,280,Images/Falafels.jpg,moyen-orientale,"falafels,pois chiches,végétarien,friture,oriental",moyen,végétalien,4.6,312
23,Shakshuka,"Œufs pochés dans une sauce tomate épicée aux poivrons, typique de la cuisine israelienne et nord-africaine.",4 œufs ; 400 g de tomates pelées ; 2 poivrons rouges ; 1 oignon ; 3 gousses d'ail ; cumin ; paprika fumé ; piment de Cayenne ; huile d'olive ; sel ; persil ; feta (optionnel),Faire revenir l'oignon dans l'huile ; Ajouter les poivrons et l'ail ; Incorporer les tomates et épices ; Laisser mijoter 15 min ; Creuser des puits et casser les œufs ; Couvrir et cuire 8 min ; Garnir de persil et éventuellement de feta,12,7,35,290,Images/Shakshuka.jpg,libanaise,"shakshuka,œufs,tomate,épices,petit-déjeuner",facile,végétarien,4.7,395
24,Hummus maison,"Purée de pois chiches veloutée à l'huile de sésame (tahini), citron et cumin, l'incontournable du Moyen-Orient.",400 g de pois chiches cuits ; 4 cuillères à soupe de tahini ; 2 citrons ; 2 gousses d'ail ; 4 cuillères à soupe d'huile d'olive ; sel ; cumin ; paprika ; persil,"Mixer les pois chiches avec le tahini ; Ajouter le jus de citron et l'ail ; Incorporer l'huile d'olive ; Assaisonner avec sel et cumin ; Mixer jusqu'à texture lisse ; Ajouter un peu d'eau si nécessaire ; Garnir d'huile, paprika et persil",9,7,15,240,Images/Hummus.jpg,moyen-orientale,"hummus,pois chiches,tahini,végétalien,apéritif",facile,végétalien,4.8,480
25,Poulet rôti aux herbes,"Poulet entier rôti croustillant avec thym, romarin, ail et citron, la recette du dimanche par excellence.",1 poulet entier ; 4 gousses d'ail ; 1 citron ; thym ; romarin ; beurre ; huile d'olive ; sel ; poivre ; pommes de terre,"Mélanger beurre, herbes et citron ; Glisser sous la peau du poulet ; Farcir la cavité de citron et d'ail ; Badigeonner l'extérieur d'huile ; Saler et poivrer ; Rôtir à 200°C pendant 1h15 ; Arroser toutes les 20 min ; Laisser reposer 10 min avant de découper",10,8,90,420,Images/Poulet_roti.jpg,française,"poulet,rôti,herbes,dimanche,citron",facile,sans gluten,4.7,520
26,Tacos al Pastor,"Tacos mexicains au porc mariné aux épices et à l'ananas, cuits à la broche et servis avec salsa et coriandre.",800 g d'épaule de porc ; ananas ; 3 piments chipotle ; 1 oignon ; coriandre ; achiote ; origan ; cumin ; vinaigre blanc ; tortillas de maïs ; salsa verde ; citron vert,Mariner le porc dans les épices et l'achiote 12h ; Empiler la viande avec l'ananas sur une broche ; Cuire lentement en retournant ; Découper finement la viande ; Garnir les tortillas ; Ajouter oignon et coriandre hachés ; Arroser de salsa et citron,12,7,780,480,Images/Tacos_pastor.jpg,mexicaine,"tacos,al pastor,mexicain,porc,broche",difficile,sans lactose,4.9,270
27,Tiramisu classique,"Dessert italien indémodable aux couches de biscuits imbibés de café, crème mascarpone et cacao.",500 g de mascarpone ; 4 œufs ; 100 g de sucre ; 300 g de biscuits savoiardi ; 300 ml de café expresso ; 50 ml de marsala ; cacao amer en poudre,Séparer les blancs des jaunes ; Battre les jaunes avec le sucre jusqu'à blanchissement ; Incorporer le mascarpone ; Monter les blancs en neige ferme ; Plier délicatement les blancs dans la crème ; Tremper les biscuits dans le café froid ; Alterner couches biscuits et crème ; Saupoudrer de cacao et réfrigérer 4h,7,8,260,480,Images/Tiramisu.jpg,italienne,"tiramisu,dessert,mascarpone,café,italien",moyen,végétarien,4.9,610
28,Soupe miso,"Soupe japonaise légère et réconfortante au miso, tofu soyeux et wakamé, prête en 10 minutes.",1 L de bouillon dashi ; 4 cuillères à soupe de pâte miso ; 200 g de tofu soyeux ; 2 cuillères à soupe de wakamé réhydraté ; oignons verts ; 1 cuillère à café de sauce soja,Chauffer le bouillon dashi sans faire bouillir ; Dissoudre la pâte miso dans un peu de bouillon ; Incorporer au bouillon ; Ajouter le tofu en dés et les algues ; Chauffer 2 min ; Garnir d'oignons verts ; Servir immédiatement,6,7,10,120,Images/Soupe_miso.jpg,japonaise,"miso,soupe,japonais,tofu,léger",facile,végétarien,4.5,340
29,Crêpes sucrées,"Crêpes françaises fines et dorées, parfaites avec du sucre, beurre, Nutella ou confiture.",250 g de farine ; 3 œufs ; 500 ml de lait ; 50 g de beurre fondu ; 1 cuillère à soupe de sucre ; 1 pincée de sel ; extrait de vanille,"Mélanger farine, sucre et sel ; Ajouter les œufs et fouetter ; Incorporer le lait progressivement ; Ajouter le beurre fondu et la vanille ; Laisser reposer 30 min ; Cuire dans une poêle légèrement beurrée ; Servir avec la garniture de votre choix",7,7,45,220,Images/Crepes.jpg,française,"crêpes,dessert,français,petit-déjeuner,simple",facile,végétarien,4.8,680
30,Salade grecque,"Salade fraîche et colorée avec tomates, concombre, olives Kalamata, oignon rouge et feta.",4 tomates ; 1 concombre ; 1 oignon rouge ; 200 g de feta ; 100 g d'olives Kalamata ; huile d'olive extra vierge ; vinaigre de vin rouge ; origan ; sel ; poivre,Couper les légumes en gros morceaux ; Émincer l'oignon rouge ; Disposer dans un grand saladier ; Ajouter les olives et la feta en bloc ; Arroser d'huile d'olive et vinaigre ; Saupoudrer d'origan ; Assaisonner ; Mélanger délicatement,10,8,15,280,Images/Salade_grecque.jpg,grecque,"salade,grecque,feta,olives,légumes",facile,végétarien,4.6,395
31,Bol de poke saumon,"Bol hawaïen coloré avec du saumon mariné, riz vinaigré, avocat, edamame et sauce ponzu.",300 g de saumon frais ; 200 g de riz à sushi ; 1 avocat ; 100 g d'edamame ; concombre ; radis ; graines de sésame ; 3 cuillères à soupe de sauce soja ; 1 cuillère à soupe de vinaigre de riz ; gingembre mariné ; wasabi,Cuire et assaisonner le riz à sushi ; Couper le saumon en cubes et mariner 15 min ; Préparer les légumes ; Disposer le riz dans les bols ; Garnir harmonieusement ; Arroser de sauce soja ; Décorer de sésame ; Servir avec wasabi et gingembre,11,8,30,490,Images/Poke_saumon.jpg,hawaïenne,"poke,saumon,bol,hawaïen,healthy",facile,sans gluten,4.8,340
32,Pancakes moelleux,"Pancakes américains épais et moelleux, parfaits pour un brunch avec sirop d'érable et fruits rouges.",200 g de farine ; 2 cuillères à café de levure chimique ; 2 cuillères à soupe de sucre ; 1 œuf ; 200 ml de lait ; 50 g de beurre fondu ; extrait de vanille ; sel,Mélanger les ingrédients secs ; Battre l'œuf avec le lait et le beurre ; Combiner les deux mélanges sans trop travailler ; Laisser reposer 10 min ; Cuire dans une poêle antiadhésive ; Verser 1 louche par pancake ; Retourner quand des bulles apparaissent ; Servir avec sirop d'érable,8,8,25,310,Images/Pancakes.jpg,américaine,"pancakes,brunch,américain,petit-déjeuner,moelleux",facile,végétarien,4.7,590
33,Soupe à l'oignon gratinée,Soupe française réconfortante avec des oignons longuement caramélisés et un gratin de gruyère fondu.,1 kg d'oignons ; 1 L de bouillon de bœuf ; 200 ml de vin blanc ; 8 tranches de pain ; 200 g de gruyère râpé ; beurre ; thym ; laurier ; sel ; poivre,Émincer finement les oignons ; Les caraméliser au beurre 45 min à feu doux ; Déglacer au vin blanc ; Ajouter le bouillon et les herbes ; Mijoter 20 min ; Verser dans des bols allant au four ; Poser le pain et le gruyère ; Gratiner sous le grill 5 min,10,8,90,420,Images/Soupe_oignon.jpg,française,"soupe,oignon,gratin,français,hivernal",moyen,végétarien,4.7,275
34,Nasi Goreng,"Riz frit indonésien épicé avec œufs, crevettes, légumes et sauce kecap manis.",300 g de riz cuit refroidi ; 200 g de crevettes ; 2 œufs ; 2 cuillères à soupe de kecap manis ; 1 cuillère à soupe de sauce soja ; pâte de crevettes ; oignons verts ; ail ; gingembre ; piment ; huile ; concombre ; chips de crevettes,"Faire chauffer l'huile à feu vif ; Faire revenir ail, gingembre et piment ; Ajouter les crevettes ; Pousser sur le côté et brouiller les œufs ; Ajouter le riz refroidi ; Assaisonner avec kecap manis et soja ; Bien mélanger à feu vif ; Garnir et servir immédiatement",13,8,20,520,Images/Nasi_goreng.jpg,indonésienne,"nasi goreng,riz frit,indonésien,crevettes,épicé",moyen,sans lactose,4.6,195
35,Gaspacho andalou,"Soupe froide espagnole à base de tomates mûres, concombre, poivrons et ail, rafraîchissante en été.",1 kg de tomates mûres ; 1 concombre ; 1 poivron rouge ; 1 oignon ; 3 gousses d'ail ; 100 ml d'huile d'olive ; 2 cuillères à soupe de vinaigre de Jerez ; pain rassis ; sel ; poivre,"Mixer tomates, concombre, poivron, oignon et ail ; Ajouter le pain imbibé d'eau ; Incorporer l'huile en filet ; Assaisonner avec vinaigre, sel et poivre ; Mixer jusqu'à texture lisse ; Filtrer pour plus de finesse ; Réfrigérer au moins 2h ; Servir avec des dés de légumes",10,8,135,180,Images/Gaspacho.jpg,espagnole,"gaspacho,soupe froide,espagnol,tomate,été",facile,végétalien,4.5,290
36,Poulet tikka masala,Curry indien populaire avec poulet mariné et grillé dans une sauce tomate crémeuse et épicée.,600 g de poulet ; 200 g de yaourt ; 2 cuillères à soupe de pâte tikka ; 400 g de tomates concassées ; 200 ml de crème ; 1 oignon ; 3 gousses d'ail ; gingembre ; garam masala ; curcuma ; coriandre ; sel ; beurre,"Mariner le poulet dans yaourt et pâte tikka 2h ; Griller le poulet au four ou au grill ; Faire revenir oignon, ail et gingembre ; Ajouter les épices et les tomates ; Mijoter 15 min ; Incorporer la crème et le poulet grillé ; Cuire 10 min ; Garnir de coriandre fraîche",13,8,150,520,Images/Tikka_masala.jpg,indienne,"tikka masala,curry,indien,poulet,crème",moyen,sans gluten,4.8,445
37,Tarte Tatin,"Tarte renversée aux pommes caramélisées, un classique de la pâtisserie française de Sologne.",6 pommes Golden ; 150 g de sucre ; 80 g de beurre ; 1 pâte brisée ; cannelle ; jus de citron,Éplucher et couper les pommes en quartiers ; Faire un caramel brun dans la poêle Tatin ; Ajouter le beurre et disposer les pommes ; Saupoudrer de cannelle ; Recouvrir avec la pâte brisée en rentrant les bords ; Cuire à 200°C 25 min ; Démouler immédiatement à la sortie du four,6,7,60,380,Images/Tarte_tatin.jpg,française,"tarte tatin,dessert,pommes,caramel,français",moyen,végétarien,4.8,365
38,Sushi maki,"Rouleaux de sushi japonais avec riz vinaigré, nori, concombre et saumon, faits maison.",300 g de riz à sushi ; 3 cuillères à soupe de vinaigre de riz ; 1 cuillère à café de sucre ; 1 cuillère à café de sel ; 4 feuilles de nori ; 150 g de saumon frais ; 1 concombre ; wasabi ; gingembre mariné ; sauce soja,"Cuire le riz et l'assaisonner avec vinaigre, sucre et sel ; Poser la nori sur le makisu (natte de bambou) ; Étaler le riz uniformément ; Déposer les garnitures en bande ; Rouler fermement ; Mouiller le bord pour sceller ; Découper en 8 tranches avec un couteau mouillé",10,7,60,320,Images/Maki_sushi.jpg,japonaise,"sushi,maki,japonais,riz,saumon",moyen,sans lactose,4.7,310
39,Chili con carne,"Ragoût américain épicé de viande hachée, haricots rouges et poivrons, parfait avec du riz ou du pain de maïs.",500 g de bœuf haché ; 2 boîtes de haricots rouges ; 400 g de tomates concassées ; 2 poivrons ; 1 oignon ; 3 gousses d'ail ; 2 cuillères à soupe de cumin ; 1 cuillère à soupe de chili en poudre ; piment de Cayenne ; 1 cuillère à café de paprika fumé ; sel ; huile,Faire revenir oignon et ail ; Ajouter le bœuf et le faire dorer ; Incorporer les épices ; Ajouter poivrons et tomates ; Verser les haricots égouttés ; Assaisonner et laisser mijoter 30 min ; Ajuster les épices ; Servir avec riz ou pain de maïs,12,8,55,480,Images/Chili_carne.jpg,américaine,"chili,américain,haricots,bœuf,épicé",facile,sans lactose,4.6,285
40,Salade César,"La grande classique américaine avec laitue romaine, croûtons, parmesan et l'inimitable sauce César.",2 romaines ; 100 g de parmesan ; 200 g de poitrine de poulet grillée ; 2 tranches de pain (croûtons) ; 2 cuillères à soupe de mayonnaise ; 1 cuillère à soupe de moutarde ; 2 filets d'anchois ; 1 gousse d'ail ; jus de citron ; huile d'olive,"Préparer les croûtons : couper le pain, assaisonner, dorer au four ; Griller le poulet et le couper en tranches ; Mixer la sauce : anchois, ail, mayo, moutarde et citron ; Déchirer la romaine en morceaux ; Mélanger salade, poulet et sauce ; Garnir de parmesan et croûtons",10,6,25,360,Images/Salade_cesar.jpg,américaine,"salade,césar,américain,poulet,parmesan",facile,normal,4.6,460
